ID,Village,Pop,Source,State,Locality,X,Y,Remarks
291,Umm dafun,,GPS,White Nile,El Gutaina,32.4,14.9,
292,Umm kelagi,,GPS,White Nile,El Gutaina,32.05,14.95,
293,Umm muraykah,,GPS,White Nile,El Gutaina,32.5,14.266667,
294,Wad mereimi,,GPS,White Nile,El Gutaina,32.233333,14.533333,
295,Wad nail,,GPS,White Nile,El Gutaina,32.3,14.45,
296,Wad shala,,GPS,White Nile,El Gutaina,32.216667,14.566667,
297,Umm sidra,,Calculated,White Nile,El Gutaina,32.6,14.933333,
298,Useifir,,GPS,White Nile,El Gutaina,32.516667,14.633333,
299,Ushara,,Calculated,White Nile,El Gutaina,32.316667,14.375,
300,Wad al kai,,GPS,White Nile,El Gutaina,32.483333,14.316667,
301,Wad al labib,,GPS,White Nile,El Gutaina,32.516667,14.716667,
302,El Gutayna,,Calculated,White Nile,El Gutaina,32.357731,14.86067,
303,Artimeili,,Calculated,White Nile,El Gutaina,32.617942,14.891589,
304,At tulayb,,Calculated,White Nile,El Gutaina,32.460895,14.651036,
305,Qurrasah,,Calculated,White Nile,El Gutaina,32.217872,14.612627,
306,Danbo,,GPS,White Nile,El Gutaina,32.212158,14.465691,
307,Ad dubasi,,Calculated,White Nile,El Gutaina,32.241409,14.218129,
308,Abd al majid,,GPS,White Nile,El Gutaina,32.766667,14.766667,
309,Abd al mawla,,GPS,White Nile,El Gutaina,32.5,14.666667,
310,Abu agag,,GPS,White Nile,El Gutaina,32.283333,14.633333,
311,Abu zarawi,,GPS,White Nile,El Gutaina,32.383333,14.283333,
312,Abu aysh,,GPS,White Nile,El Gutaina,32.483333,14.7,
313,Abu ghanim,,GPS,White Nile,El Gutaina,32.333333,14.716667,
314,Abu gheneiwa,,GPS,White Nile,El Gutaina,32.616667,14.616667,
315,Meshra abu hagar,,GPS,White Nile,El Gutaina,32.416667,14.95,
316,Abu halaqim,,GPS,White Nile,El Gutaina,32.45,14.116667,
317,Abu hibeira,,GPS,White Nile,El Gutaina,32.383333,14.033333,
318,Akara,,GPS,White Nile,El Gutaina,32.616667,14.816667,
319,El kuteir,,GPS,White Nile,El Gutaina,32.366667,14.983333,
320,Et tawila island,,GPS,White Nile,El Gutaina,32.3,14.8,
321,Ez zamalyab,,GPS,White Nile,El Gutaina,32.283333,14.5,
322,El hasan abd el qadir,,GPS,White Nile,El Gutaina,32.266667,14.4,
323,El hebeik,,GPS,White Nile,El Gutaina,32.3,14.75,
324,El qafalat,,GPS,White Nile,El Gutaina,32.483333,14.583333,
325,El qala,,GPS,White Nile,El Gutaina,32.533333,14.583333,
326,El quweiz,,GPS,White Nile,El Gutaina,32.366667,14.9,
327,El udaiyat,,GPS,White Nile,El Gutaina,32.583333,14.783333,
328,Esh sheikh el imam,,GPS,White Nile,El Gutaina,32.3,14.116667,
329,Es senaga,,GPS,White Nile,El Gutaina,32.383333,14.416667,
330,Hashaba,,GPS,White Nile,El Gutaina,32.233333,14.316667,
331,Hashaba,,GPS,White Nile,El Gutaina,32.733333,14.666667,
332,Ghanama,,GPS,White Nile,El Gutaina,32.283333,14.566667,
333,Gheneiwa,,GPS,White Nile,El Gutaina,32.5,14.333333,
334,Gheneiwab,,GPS,White Nile,El Gutaina,32.666667,14.7,
335,Hizawi,,GPS,White Nile,El Gutaina,32.466667,14.466667,
336,Humaiyir,,GPS,White Nile,El Gutaina,32.333333,14.616667,
337,Huseinat,,GPS,White Nile,El Gutaina,32.5,14.75,
338,Idda,,GPS,White Nile,El Gutaina,32.666667,14.766667,
339,Haggaz,,GPS,White Nile,El Gutaina,32.5,14.616667,
340,Malaba,,GPS,White Nile,El Gutaina,32.366667,13.933333,
341,Munqatia,,GPS,White Nile,El Gutaina,32.533333,13.966667,
342,Umm garr east,,GPS,White Nile,El Gutaina,32.433333,13.816667,
343,Ziheiw wells,,GPS,White Nile,El Gutaina,32.6,13.7,
344,Umm uwayd,,GPS,White Nile,El Gutaina,32.666667,13.6,
345,El kawah,,Calculated,White Nile,El Gutaina,32.505211,13.746126,
346,Abu qurun,,GPS,White Nile,El Gutaina,32.4,13.85,
347,Abu hindi,,GPS,White Nile,El Gutaina,32.5,13.716667,
348,El kunuz,,GPS,White Nile,El Gutaina,32.533333,13.65,
349,Dineigila,,GPS,White Nile,El Gutaina,32.366667,13.866667,
350,Bundug es sad,,GPS,White Nile,El Gutaina,32.95,13.7,
351,Gaboga,,GPS,White Nile,El Gutaina,32.7,13.766667,
352,El mesellemiya,,GPS,White Nile,El Gutaina,32.6,13.666667,
353,El udeid,,GPS,White Nile,El Gutaina,32.666667,13.9,
354,Esh shuheita,,GPS,White Nile,El Gutaina,32.583333,13.833333,
355,Hassaniyah,,GPS,White Nile,El Gutaina,32.35,13.9,
356,Huseinat,,GPS,White Nile,El Gutaina,32.5,13.75,
357,At turah al khadra',,GPS,White Nile,Ed Douiem,32.133333,14.316667,
358,Bi'r khanqan,,GPS,White Nile,Ed Douiem,32.033333,14.65,
359,Kurtan,,GPS,White Nile,Ed Douiem,31.916667,14.066667,
360,Maagalab,,GPS,White Nile,Ed Douiem,31.833333,14.483333,
361,Magdiya,,GPS,White Nile,Ed Douiem,31.666667,14.283333,
362,Muhaylah,,GPS,White Nile,Ed Douiem,32.15,14.216667,
363,Marakha,,GPS,White Nile,Ed Douiem,32.033333,14.4,
364,Idd nabala,,GPS,White Nile,Ed Douiem,31.65,14.216667,
365,Sanqeir,,GPS,White Nile,Ed Douiem,31.9,14.5,
366,Quweiz,,GPS,White Nile,Ed Douiem,32.133333,14.4,
367,Rahma,,GPS,White Nile,Ed Douiem,32.016667,14.466667,
368,Sufi,,GPS,White Nile,Ed Douiem,32.133333,14.466667,
369,Suq al halbah,,GPS,White Nile,Ed Douiem,31.666667,14.233333,
